pl_name,pl_rade,pl_bmasse,pl_eqt,pl_orbsmax,pl_insol,st_teff,st_rad,st_mass,st_met,pl_dens
HD 143361 b,12.9,1382.55357045,,1.988,,5507.0,0.916,0.968,0.14,3.54
TOI-561 c,2.865,5.93,802.0,0.0889,67.5,5342.0,0.843,0.806,-0.41,1.3
Kepler-1986 b,1.89,4.23,579.0,0.1307,26.62,5549.0,0.732,0.776,-0.54,3.44
Kepler-20 c,2.894,11.1,828.0,0.0936,78.7,5495.0,0.9164,0.929,0.07,2.51
HD 33142 c,13.9,282.86728223,,1.955,,5025.4,4.17,1.52,0.06,0.579
HAT-P-51 b,13.50682174,97.57332095,1168.2,0.05042,310.0,5453.0,0.995,0.961,0.302,0.218
Kepler-158 c,1.9,4.27,418.0,0.158,6.677,4623.0,0.624,0.655,-0.3,3.42
HD 33142 b,13.7,400.46379282,,1.074,,5025.4,4.17,1.52,0.06,0.856
Kepler-323 c,1.57,6.8,1431.0,0.0458,700.0,6004.0,1.12,1.015,-0.14,9.6
TOI-7510 b,7.31,18.1,878.0,0.1019,1678.5119,5720.0,1.035,1.063,0.25,0.255
TOI-4551 b,11.85910158,473.56432643,1655.0,0.0994,1247.74,4896.0,3.55,1.31,0.23,1.74
Kepler-1987 e,1.92,4.35,643.0,0.0765,40.33,4769.0,0.714,0.799,0.12,3.38
TOI-1266 c,1.98,3.17,346.0,0.105,2.42,3563.0,0.4232,0.437,-0.109,2.25
LTT 1445 A c,1.147,1.54,508.0,0.02661,10.9,3340.0,0.265,0.257,-0.34,5.57
TOI-1422 c,2.61,14.0,628.0,0.205,,5840.0,1.019,0.9903,-0.028,4.3
K2-337 b,2.62,7.37,850.0,,,5869.0,1.32,0.94,-0.27,2.25
TOI-1782.02,1.839,4.04,974.95,0.025739,214.17,4336.0,0.669,0.68,,3.57
K2-393 b,2.352,6.13,,,,5678.0,1.071,0.881,0.076,2.59
TOI-1386 b,6.2163865,45.8,615.03,0.173,34.68,5735.0,1.0235,1.0363,0.149,1.04
